transaction_event_log_id,customer_dob_entry,duration,event_type,global_unique_identifier,verifone_transaction_sn
10162002,060104,5,FINANCIAL,1726116894000-660011418-0001428945,116390
90254645,,109,FINANCIAL,1726116894000-660011418-0001428954,116391
10162003,060104,13,FINANCIAL,1726116894000-660011418-0001428957,116392
90154646,,126,FINANCIAL,1726116894000-660011418-0001428968,116393
90654647,,124,FINANCIAL,1726116894000-660011418-0001428970,116394
90754648,,160,FINANCIAL,1726116894000-660011418-0001428978,116395
90754649,,33,FINANCIAL,1726116894000-660011418-0001429005,116396
90754650,,116,FINANCIAL,1726116894000-660011418-0001429014,116397
90554651,,125,FINANCIAL,1726116894000-660011418-0001429023,116398
10162004,060104,12,FINANCIAL,1726116894000-660011418-0001429025,116399
10162005,,14,FINANCIAL,1726116894000-660011418-0001429033,116400
10162006,,17,FINANCIAL,1726116894000-660011418-0001429041,116401
90154652,,127,FINANCIAL,1726116894000-660011418-0001429045,116402
90654653,,168,FINANCIAL,1726116894000-660011418-0001429054,116403
90254654,,247,FINANCIAL,1726116894000-660011418-0001429062,116404
90754655,,133,FINANCIAL,1726116894000-660011418-0001429092,116406
10162008,,9,FINANCIAL,1726116894000-660011418-0001429093,116407
90454656,,246,FINANCIAL,1726116894000-660011418-0001429102,116408
10162009,,19,FINANCIAL,1726116894000-660011418-0001429103,116409
10162010,,3,FINANCIAL,1726116894000-660011418-0001429105,116410
10162011,,18,FINANCIAL,1726116894000-660011418-0001429115,116411
90154657,,223,FINANCIAL,1726116894000-660011418-0001429118,116412
10162012,,8,FINANCIAL,1726116894000-660011418-0001429127,116413
90554658,,110,FINANCIAL,1726116894000-660011418-0001429129,116414
90454659,,192,FINANCIAL,1726116894000-660011418-0001429137,116415
90554660,,71,FINANCIAL,1726116894000-660011418-0001429149,116416
10162013,,64,FINANCIAL,1726116894000-660011418-0001429151,116417
90754661,,99,FINANCIAL,1726116894000-660011418-0001429162,116418
90454662,,96,FINANCIAL,1726116894000-660011418-0001429163,116419
